review_id,review_content,expected_sentiment,expected_category,expected_urgency,note
G0001,鞋子质量很好穿着很舒服透气性也不错,正面,产品质量,1,标准正面评价
G0002,快递很快第二天就收到了包装也很完整,正面,物流配送,1,物流正面
G0003,客服态度很好耐心解答了我的问题,正面,服务态度,1,客服正面
G0004,性价比很高这个价格买到这个品质很值,正面,价格争议,1,性价比正面
G0005,回购的第二双了给家里老人也买了一双,正面,产品质量,1,行为暗示满意（回购）
G0006,做工精细没有线头材质手感很好,正面,产品质量,1,细节好评
G0007,颜色很正跟图片一模一样很喜欢,正面,产品质量,1,色差无/满意
G0008,鞋子很轻跑步穿特别合适透气好,正面,产品质量,1,功能性好评
G0009,顺丰发货隔天就到了快递员态度很好,正面,物流配送,1,快递速度好评
G0010,售后处理很快有问题马上就解决了,正面,服务态度,1,售后效率好评
G0011,穿了一周鞋底就开胶了质量太差,负面,产品质量,2,开胶-中优
G0012,鞋子有刺鼻气味闻着头晕,负面,产品质量,3,有害气味-高优/红线
G0013,掉色严重把袜子都染红了,负面,产品质量,2,掉色-中优
G0014,鞋面破了才穿了两次,负面,产品质量,2,破损-中优
G0015,鞋底太硬了走路脚疼不舒适,负面,产品质量,2,舒适度差-中优
G0016,尺码严重偏小按正常码买根本穿不了,负面,产品质量,2,尺码偏差
G0017,穿了几天鞋垫就塌了质量堪忧,负面,产品质量,2,鞋垫塌陷
G0018,线头很多感觉像残次品做工太粗糙,负面,产品质量,2,做工粗糙
G0019,磨脚后跟每次穿都起泡设计缺陷,负面,产品质量,2,磨脚
G0020,说是真皮其实是人造革虚假宣传欺骗消费者,负面,产品质量,3,虚假宣传-高优
G0021,发货太慢了等了十天才收到,负面,物流配送,2,发货慢
G0022,物流暴力运输鞋盒都压扁了,负面,物流配送,2,暴力运输
G0023,快递把包裹弄丢了又重新补发等了一周,负面,物流配送,2,丢件
G0024,承诺48小时发货结果拖了5天,负面,物流配送,2,承诺未兑现
G0025,包装太简陋鞋子直接放快递袋里都变形了,负面,物流配送,2,包装不当
G0026,发的根本不是我要的颜色发错货了,负面,物流配送,2,发错货
G0027,客服态度特别差问什么都是自动回复,负面,服务态度,2,客服态度差
G0028,退换货流程太麻烦了客服推脱不给处理,负面,服务态度,2,退换货推脱
G0029,申请退货被拒了三次每次都说照片不清楚,负面,服务态度,2,退货刁难
G0030,客服一直不回消息态度恶劣,负面,服务态度,2,客服失联
G0031,答应了退款却一直不处理拖了两周,负面,服务态度,2,退款拖延
G0032,价格降太快了买完三天就降价50块,负面,价格争议,2,短期降价
G0033,太贵了不值这个价同样的东西别家便宜一半,负面,价格争议,2,性价比低
G0034,双十一买的比现在还便宜被坑了,负面,价格争议,2,大促差价
G0035,昨天刚买今天活动就降价了80块太坑了,负面,价格争议,2,活动降价
G0036,质量不错穿着舒服但价格有点贵性价比不高,混合,价格争议,1,质好价贵
G0037,鞋子好看但磨脚穿着不太舒服,混合,产品质量,2,好看但磨脚
G0038,款式很好但是尺码严重偏小建议买大两码,混合,产品质量,2,款好码小
G0039,颜色好看质量可以就是发货实在太慢了,混合,物流配送,2,产品好物流慢
G0040,整体还行物流快但客服态度需要改善,混合,服务态度,2,物流好客服差
G0041,鞋子本身质量没毛病但是刚买就参加活动降了80,混合,价格争议,2,产品好降价快
G0042,做工精细穿着舒服就是款式选择太少,混合,产品质量,1,做工好款式少
G0043,发货很快物流很棒但鞋子质量真的很一般穿几次就变形了,混合,产品质量,2,物流好质量差
G0044,还行吧一般般没什么特别的,中性,产品质量,1,一般评价
G0045,刚收到还没穿过看起来还行希望耐穿吧,中性,产品质量,1,未使用
G0046,帮同事买的他说还行我也不清楚,中性,产品质量,1,代买不知情
G0047,还没穿先评价一下过几天追评,中性,产品质量,1,待追评
G0048,凑合穿吧没有太好也没有太差,中性,产品质量,1,凑合
G0049,真是买了个活爹回来供着吧不能穿,负面,产品质量,2,反讽-活爹
G0050,五星好评穿了三天鞋底掉了客服已读不回太棒了,负面,产品质量,3,反讽-五星差评
G0051,太浮夸了不过本仙女就是喜欢这种全场焦点的感觉,正面,产品质量,1,明贬暗褒
G0052,谢谢商家让我体验了一次什么叫花钱买教训,负面,产品质量,2,反讽-感谢体
G0053,呵呵就当买个教训吧,负面,产品质量,2,反讽-呵呵体
G0054,这质量绝了穿三天比我穿三年还旧,负面,产品质量,2,反讽-绝了
G0055,好,中性,无效评论,1,单字评价
G0056,不错,中性,无效评论,1,模糊好评
G0057,111111,中性,无效评论,1,连击数字
G0058,😂😂😂👍👍👍,中性,无效评论,1,纯表情
G0059,默认好评,中性,无效评论,1,系统默认
G0060,好評好評好評,中性,无效评论,1,繁体重复
G0061,。。。。。。,中性,无效评论,1,纯符号
G0062,穿了这个鞋子跑步扭伤了脚踝设计有安全隐患,负面,产品质量,3,安全伤害-高优
G0063,鞋底防滑太差了雨天摔了一跤,负面,产品质量,3,防滑安全-高优
G0064,孩子穿了脚上起了红疹怀疑材料过敏,负面,产品质量,3,材质过敏-高优
G0065,物流很快鞋子也很好客服也很耐心完美的一次购物,正面,产品质量,1,多维度全正面
G0066,物流慢客服差鞋子还有质量问题三重打击,负面,产品质量,2,多维度全负面
G0067,穿了一个月了来追评质量确实不错很耐穿,正面,产品质量,1,追评正面
G0068,活动价买的很划算但发货等太久了,混合,物流配送,2,价格满意物流不满
G0069,给爸爸买的他说很舒服走路不累了,正面,产品质量,1,送礼满意
G0070,好，就这样,中性,无效评论,1,变体: 单字评价
G0071,说一下，质量不错穿着舒服但价格有点贵性价比不高,混合,价格争议,1,变体: 质好价贵
G0072,说一下，谢谢商家让我体验了一次什么叫花钱买教训,负面,产品质量,2,变体: 反讽-感谢体
G0073,。。。。。。，就这样,中性,无效评论,1,变体: 纯符号
G0074,说一下，鞋底防滑太差了雨天摔了一跤,负面,产品质量,3,变体: 防滑安全-高优
G0075,磨脚后跟每次穿都起泡设计缺陷，就这样,负面,产品质量,2,变体: 磨脚
G0076,鞋面破了才穿了两次。,负面,产品质量,2,变体: 破损-中优
G0077,太贵了不值这个价同样的东西别家便宜一半，就这样,负面,价格争议,2,变体: 性价比低
G0078,孩子穿了脚上起了红疹怀疑材料过敏！,负面,产品质量,3,变体: 材质过敏-高优
G0079,线头很多感觉像残次品做工太粗糙。,负面,产品质量,2,变体: 做工粗糙
G0080,掉色严重把袜子都染红了。,负面,产品质量,2,变体: 掉色-中优
G0081,顺丰发货隔天就到了快递员态度很好，就这样,正面,物流配送,1,变体: 快递速度好评
G0082,性价比很高这个价格买到这个品质很值！,正面,价格争议,1,变体: 性价比正面
G0083,说一下，真是买了个活爹回来供着吧不能穿,负面,产品质量,2,变体: 反讽-活爹
G0084,说一下，说是真皮其实是人造革虚假宣传欺骗消费者,负面,产品质量,3,变体: 虚假宣传-高优
G0085,掉色严重把袜子都染红了。,负面,产品质量,2,变体: 掉色-中优
G0086,穿了一个月了来追评质量确实不错很耐穿，就这样,正面,产品质量,1,变体: 追评正面
G0087,好評好評好評！,中性,无效评论,1,变体: 繁体重复
G0088,款式很好但是尺码严重偏小建议买大两码，就这样,混合,产品质量,2,变体: 款好码小
G0089,说一下，鞋底防滑太差了雨天摔了一跤,负面,产品质量,3,变体: 防滑安全-高优
G0090,还行吧一般般没什么特别的。,中性,产品质量,1,变体: 一般评价
G0091,回购的第二双了给家里老人也买了一双，就这样,正面,产品质量,1,变体: 行为暗示满意（回购）
G0092,尺码严重偏小按正常码买根本穿不了，就这样,负面,产品质量,2,变体: 尺码偏差
G0093,说一下，😂😂😂👍👍👍,中性,无效评论,1,变体: 纯表情
G0094,真是买了个活爹回来供着吧不能穿，就这样,负面,产品质量,2,变体: 反讽-活爹
G0095,默认好评。,中性,无效评论,1,变体: 系统默认
G0096,回购的第二双了给家里老人也买了一双！,正面,产品质量,1,变体: 行为暗示满意（回购）
G0097,颜色好看质量可以就是发货实在太慢了！,混合,物流配送,2,变体: 产品好物流慢
G0098,鞋底防滑太差了雨天摔了一跤，就这样,负面,产品质量,3,变体: 防滑安全-高优
G0099,说一下，线头很多感觉像残次品做工太粗糙,负面,产品质量,2,变体: 做工粗糙
G0100,五星好评穿了三天鞋底掉了客服已读不回太棒了，就这样,负面,产品质量,3,变体: 反讽-五星差评
G0101,鞋底太硬了走路脚疼不舒适，就这样,负面,产品质量,2,变体: 舒适度差-中优
G0102,。。。。。。，就这样,中性,无效评论,1,变体: 纯符号
G0103,发货太慢了等了十天才收到。,负面,物流配送,2,变体: 发货慢
G0104,说一下，太浮夸了不过本仙女就是喜欢这种全场焦点的感觉,正面,产品质量,1,变体: 明贬暗褒
G0105,孩子穿了脚上起了红疹怀疑材料过敏，就这样,负面,产品质量,3,变体: 材质过敏-高优
G0106,说一下，帮同事买的他说还行我也不清楚,中性,产品质量,1,变体: 代买不知情
G0107,做工精细穿着舒服就是款式选择太少。,混合,产品质量,1,变体: 做工好款式少
G0108,性价比很高这个价格买到这个品质很值。,正面,价格争议,1,变体: 性价比正面
G0109,说一下，穿了几天鞋垫就塌了质量堪忧,负面,产品质量,2,变体: 鞋垫塌陷
G0110,刚收到还没穿过看起来还行希望耐穿吧。,中性,产品质量,1,变体: 未使用
G0111,还行吧一般般没什么特别的，就这样,中性,产品质量,1,变体: 一般评价
G0112,掉色严重把袜子都染红了，就这样,负面,产品质量,2,变体: 掉色-中优
G0113,说一下，刚收到还没穿过看起来还行希望耐穿吧,中性,产品质量,1,变体: 未使用
G0114,说一下，呵呵就当买个教训吧,负面,产品质量,2,变体: 反讽-呵呵体
G0115,鞋子很轻跑步穿特别合适透气好！,正面,产品质量,1,变体: 功能性好评
G0116,价格降太快了买完三天就降价50块！,负面,价格争议,2,变体: 短期降价
G0117,整体还行物流快但客服态度需要改善。,混合,服务态度,2,变体: 物流好客服差
G0118,说一下，顺丰发货隔天就到了快递员态度很好,正面,物流配送,1,变体: 快递速度好评
G0119,说一下，鞋底太硬了走路脚疼不舒适,负面,产品质量,2,变体: 舒适度差-中优
G0120,物流暴力运输鞋盒都压扁了。,负面,物流配送,2,变体: 暴力运输
G0121,说一下，给爸爸买的他说很舒服走路不累了,正面,产品质量,1,变体: 送礼满意
G0122,回购的第二双了给家里老人也买了一双，就这样,正面,产品质量,1,变体: 行为暗示满意（回购）
G0123,好，就这样,中性,无效评论,1,变体: 单字评价
G0124,昨天刚买今天活动就降价了80块太坑了。,负面,价格争议,2,变体: 活动降价
G0125,。。。。。。。,中性,无效评论,1,变体: 纯符号
G0126,鞋子本身质量没毛病但是刚买就参加活动降了80，就这样,混合,价格争议,2,变体: 产品好降价快
G0127,说一下，五星好评穿了三天鞋底掉了客服已读不回太棒了,负面,产品质量,3,变体: 反讽-五星差评
G0128,掉色严重把袜子都染红了，就这样,负面,产品质量,2,变体: 掉色-中优
G0129,掉色严重把袜子都染红了！,负面,产品质量,2,变体: 掉色-中优
G0130,还行吧一般般没什么特别的，就这样,中性,产品质量,1,变体: 一般评价
G0131,说一下，物流很快鞋子也很好客服也很耐心完美的一次购物,正面,产品质量,1,变体: 多维度全正面
G0132,说一下，物流暴力运输鞋盒都压扁了,负面,物流配送,2,变体: 暴力运输
G0133,还没穿先评价一下过几天追评，就这样,中性,产品质量,1,变体: 待追评
G0134,发的根本不是我要的颜色发错货了，就这样,负面,物流配送,2,变体: 发错货
G0135,售后处理很快有问题马上就解决了！,正面,服务态度,1,变体: 售后效率好评
G0136,说一下，鞋子好看但磨脚穿着不太舒服,混合,产品质量,2,变体: 好看但磨脚
G0137,说一下，颜色很正跟图片一模一样很喜欢,正面,产品质量,1,变体: 色差无/满意
G0138,谢谢商家让我体验了一次什么叫花钱买教训！,负面,产品质量,2,变体: 反讽-感谢体
G0139,鞋子有刺鼻气味闻着头晕。,负面,产品质量,3,变体: 有害气味-高优/红线
G0140,说一下，还行吧一般般没什么特别的,中性,产品质量,1,变体: 一般评价
G0141,顺丰发货隔天就到了快递员态度很好，就这样,正面,物流配送,1,变体: 快递速度好评
G0142,好！,中性,无效评论,1,变体: 单字评价
G0143,刚收到还没穿过看起来还行希望耐穿吧。,中性,产品质量,1,变体: 未使用
G0144,说一下，颜色好看质量可以就是发货实在太慢了,混合,物流配送,2,变体: 产品好物流慢
G0145,说一下，不错,中性,无效评论,1,变体: 模糊好评
G0146,发的根本不是我要的颜色发错货了，就这样,负面,物流配送,2,变体: 发错货
G0147,说一下，谢谢商家让我体验了一次什么叫花钱买教训,负面,产品质量,2,变体: 反讽-感谢体
G0148,物流慢客服差鞋子还有质量问题三重打击，就这样,负面,产品质量,2,变体: 多维度全负面
G0149,承诺48小时发货结果拖了5天。,负面,物流配送,2,变体: 承诺未兑现
G0150,穿了一个月了来追评质量确实不错很耐穿！,正面,产品质量,1,变体: 追评正面
G0151,孩子穿了脚上起了红疹怀疑材料过敏！,负面,产品质量,3,变体: 材质过敏-高优
G0152,说一下，好評好評好評,中性,无效评论,1,变体: 繁体重复
G0153,给爸爸买的他说很舒服走路不累了，就这样,正面,产品质量,1,变体: 送礼满意
G0154,鞋子很轻跑步穿特别合适透气好！,正面,产品质量,1,变体: 功能性好评
G0155,还没穿先评价一下过几天追评，就这样,中性,产品质量,1,变体: 待追评
G0156,磨脚后跟每次穿都起泡设计缺陷！,负面,产品质量,2,变体: 磨脚
G0157,说一下，说是真皮其实是人造革虚假宣传欺骗消费者,负面,产品质量,3,变体: 虚假宣传-高优
G0158,不错，就这样,中性,无效评论,1,变体: 模糊好评
G0159,鞋子本身质量没毛病但是刚买就参加活动降了80。,混合,价格争议,2,变体: 产品好降价快
G0160,客服态度特别差问什么都是自动回复，就这样,负面,服务态度,2,变体: 客服态度差
G0161,说一下，昨天刚买今天活动就降价了80块太坑了,负面,价格争议,2,变体: 活动降价
G0162,说一下，发货太慢了等了十天才收到,负面,物流配送,2,变体: 发货慢
G0163,答应了退款却一直不处理拖了两周，就这样,负面,服务态度,2,变体: 退款拖延
G0164,答应了退款却一直不处理拖了两周。,负面,服务态度,2,变体: 退款拖延
G0165,说是真皮其实是人造革虚假宣传欺骗消费者！,负面,产品质量,3,变体: 虚假宣传-高优
G0166,性价比很高这个价格买到这个品质很值！,正面,价格争议,1,变体: 性价比正面
G0167,整体还行物流快但客服态度需要改善，就这样,混合,服务态度,2,变体: 物流好客服差
G0168,鞋底防滑太差了雨天摔了一跤，就这样,负面,产品质量,3,变体: 防滑安全-高优
G0169,好。,中性,无效评论,1,变体: 单字评价
G0170,发的根本不是我要的颜色发错货了！,负面,物流配送,2,变体: 发错货
G0171,昨天刚买今天活动就降价了80块太坑了！,负面,价格争议,2,变体: 活动降价
G0172,说一下，性价比很高这个价格买到这个品质很值,正面,价格争议,1,变体: 性价比正面
G0173,质量不错穿着舒服但价格有点贵性价比不高！,混合,价格争议,1,变体: 质好价贵
G0174,做工精细没有线头材质手感很好，就这样,正面,产品质量,1,变体: 细节好评
G0175,客服态度很好耐心解答了我的问题。,正面,服务态度,1,变体: 客服正面
G0176,说一下，穿了一周鞋底就开胶了质量太差,负面,产品质量,2,变体: 开胶-中优
G0177,颜色好看质量可以就是发货实在太慢了。,混合,物流配送,2,变体: 产品好物流慢
G0178,说一下，呵呵就当买个教训吧,负面,产品质量,2,变体: 反讽-呵呵体
G0179,鞋子有刺鼻气味闻着头晕，就这样,负面,产品质量,3,变体: 有害气味-高优/红线
G0180,线头很多感觉像残次品做工太粗糙！,负面,产品质量,2,变体: 做工粗糙
G0181,鞋底太硬了走路脚疼不舒适。,负面,产品质量,2,变体: 舒适度差-中优
G0182,说一下，穿了一个月了来追评质量确实不错很耐穿,正面,产品质量,1,变体: 追评正面
G0183,孩子穿了脚上起了红疹怀疑材料过敏。,负面,产品质量,3,变体: 材质过敏-高优
G0184,答应了退款却一直不处理拖了两周。,负面,服务态度,2,变体: 退款拖延
G0185,说一下，鞋子本身质量没毛病但是刚买就参加活动降了80,混合,价格争议,2,变体: 产品好降价快
G0186,五星好评穿了三天鞋底掉了客服已读不回太棒了！,负面,产品质量,3,变体: 反讽-五星差评
G0187,好！,中性,无效评论,1,变体: 单字评价
G0188,磨脚后跟每次穿都起泡设计缺陷。,负面,产品质量,2,变体: 磨脚
G0189,快递把包裹弄丢了又重新补发等了一周！,负面,物流配送,2,变体: 丢件
G0190,质量不错穿着舒服但价格有点贵性价比不高，就这样,混合,价格争议,1,变体: 质好价贵
G0191,说一下，呵呵就当买个教训吧,负面,产品质量,2,变体: 反讽-呵呵体
G0192,鞋子很轻跑步穿特别合适透气好，就这样,正面,产品质量,1,变体: 功能性好评
G0193,说一下，给爸爸买的他说很舒服走路不累了,正面,产品质量,1,变体: 送礼满意
G0194,说一下，鞋底太硬了走路脚疼不舒适,负面,产品质量,2,变体: 舒适度差-中优
G0195,好，就这样,中性,无效评论,1,变体: 单字评价
G0196,说一下，价格降太快了买完三天就降价50块,负面,价格争议,2,变体: 短期降价
G0197,说一下，磨脚后跟每次穿都起泡设计缺陷,负面,产品质量,2,变体: 磨脚
G0198,说一下，。。。。。。,中性,无效评论,1,变体: 纯符号
G0199,整体还行物流快但客服态度需要改善。,混合,服务态度,2,变体: 物流好客服差
G0200,回购的第二双了给家里老人也买了一双。,正面,产品质量,1,变体: 行为暗示满意（回购）
